"__priceToValueRatio","address","area","baths","beds","dateSold","detailUrl","homeType","imgSrc","price","taxAssessedValue","zestimate"
1.44,"94-549 Holaniku St, Mililani, HI 96789",2039,3,5,"3/24/2021","https://www.zillow.com/homedetails/94-549-Holaniku-St-Mililani-HI-96789/686985_zpid/","SINGLE_FAMILY",,1180000,820400,1261600
1.39,"94-159 Hokulele Pl, Mililani, HI 96789",1425,2,4,"5/24/2021","https://www.zillow.com/homedetails/94-159-Hokulele-Pl-Mililani-HI-96789/686465_zpid/","SINGLE_FAMILY",,1011000,725400,1055900
1.37,"94-235 Keaolani St, Mililani, HI 96789",2019,3,4,"7/20/2021","https://www.zillow.com/homedetails/94-235-Keaolani-St-Mililani-HI-96789/690076_zpid/","SINGLE_FAMILY",,1085000,790200,1107200
1.37,"94-1040 Akaku St, Mililani, HI 96789",1854,3,4,"8/22/2021","https://www.zillow.com/homedetails/94-1040-Akaku-St-Mililani-HI-96789/686172_zpid/","SINGLE_FAMILY",,1100000,803500,1108300
1.34,"95-304 Kaaona Pl, Mililani, HI 96789",1612,2,3,"9/9/2021","https://www.zillow.com/homedetails/95-304-Kaaona-Pl-Mililani-HI-96789/695699_zpid/","SINGLE_FAMILY",,950000,709700,910400
1.33,"94-396 Ololu St, Mililani, HI 96789",1808,2,4,"4/25/2021","https://www.zillow.com/homedetails/94-396-Ololu-St-Mililani-HI-96789/685725_zpid/","SINGLE_FAMILY",,975000,734700,1030000
1.32,"95-223 Kehepue Loop, Mililani, HI 96789",2293,3,4,"5/23/2021","https://www.zillow.com/homedetails/95-223-Kehepue-Loop-Mililani-HI-96789/696340_zpid/","SINGLE_FAMILY",,1135000,858300,1185900
1.29,"94-614 Kauakapuu Loop, Mililani, HI 96789",1320,2,3,"4/27/2021","https://www.zillow.com/homedetails/94-614-Kauakapuu-Loop-Mililani-HI-96789/688168_zpid/","SINGLE_FAMILY",,975000,756800,1029200
1.26,"94-455 Noholoa Loop, Mililani, HI 96789",1902,3,3,"3/23/2021","https://www.zillow.com/homedetails/94-455-Noholoa-Loop-Mililani-HI-96789/685793_zpid/","SINGLE_FAMILY",,955000,759500,1021400
1.24,"94-437 Haiwale Loop, Mililani, HI 96789",1324,2,3,"9/8/2021","https://www.zillow.com/homedetails/94-437-Haiwale-Loop-Mililani-HI-96789/688774_zpid/","SINGLE_FAMILY",,950000,769000,951100
1.23,"94-312 Kamalei St, Mililani, HI 96789",2232,2,4,"3/29/2021","https://www.zillow.com/homedetails/94-312-Kamalei-St-Mililani-HI-96789/688013_zpid/","SINGLE_FAMILY",,1050000,854800,1120700
1.23,"95-1001 Wekiu St, Mililani, HI 96789",1440,2,3,"4/29/2021","https://www.zillow.com/homedetails/95-1001-Wekiu-St-Mililani-HI-96789/698074_zpid/","SINGLE_FAMILY",,987000,800900,1041100
1.23,"94-233 Awiwi Pl, Mililani, HI 96789",1648,2,3,"7/19/2021","https://www.zillow.com/homedetails/94-233-Awiwi-Pl-Mililani-HI-96789/690100_zpid/","SINGLE_FAMILY",,950000,771700,969900
1.23,"95-1123 Wekiu St, Mililani, HI 96789",2002,3,4,"8/5/2021","https://www.zillow.com/homedetails/95-1123-Wekiu-St-Mililani-HI-96789/698138_zpid/","SINGLE_FAMILY",,1075000,873000,1090100
1.22,"94-463 Alapoai St, Mililani, HI 96789",2608,3,5,"3/22/2021","https://www.zillow.com/homedetails/94-463-Alapoai-St-Mililani-HI-96789/686804_zpid/","SINGLE_FAMILY",,1040000,854500,1112700
